user,is_anonymous,num_edits,added_words,deleted_words,changed_words,reverts_done,num_added_on_users,num_deleted_from_users,num_edited_after_users,num_reverted_users,num_reverted_by_users,vandal_label,deletion_ratio,aggression_ratio,community_rejection,revert_ratio
Gamegeek2,0,1,2,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0
Lomicmenes,0,3,6,1,1,0,2,0,1,0,0,0,0.1111111111111111,0.0,0.0,0.0
ImtiazAA,0,1,8,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0
91.140.121.254,1,1,1,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0
Intershark,0,2,3,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0
67.183.80.158,1,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Louiscelli,0,1,146,0,0,0,2,0,0,0,2,0,0.0,0.0,0.6666666666666666,0.0
Dvd-junkie,0,1,2,1,1,0,0,0,1,0,0,0,0.2,0.0,0.0,0.0
193.60.220.203,1,1,4,1,1,0,0,0,1,0,1,0,0.14285714285714285,0.0,0.5,0.0
Windofkeltia,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
DoctorWizard,0,1,26,53,15,0,2,0,1,0,3,0,0.5578947368421052,0.0,0.75,0.0
JimWae,0,9,198,131,40,50,22,17,13,101,20,0,0.35405405405405405,1.7,0.37735849056603776,5.0
119.155.114.36,1,1,9,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
2.218.179.88,1,1,3,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0
115.75.150.184,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Rambam rashi,0,1,4,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
74.235.90.205,1,1,2,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0
Cooldadio5678901,0,1,2,0,0,0,1,0,0,0,6,1,0.0,0.0,3.0,0.0
Fat&Happy,0,11,279,850,104,144,16,27,31,225,50,0,0.6888168557536467,2.25,0.6666666666666666,12.0
14.97.215.4,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
173.88.244.105,1,1,0,100,0,0,0,1,0,0,0,0,0.9900990099009901,0.5,0.0,0.0
Rawrisherz,0,1,0,4,0,0,0,1,0,0,2,0,0.8,0.5,1.0,0.0
39.52.157.174,1,1,2,3,2,0,0,0,1,0,5,0,0.375,0.0,2.5,0.0
131.227.97.140,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
RichardOwen97,0,1,3,3,3,0,0,0,1,0,1,0,0.3,0.0,0.5,0.0
74.89.13.219,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Skeledzija,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ray30,0,1,0,3,0,0,0,1,0,0,0,0,0.75,0.5,0.0,0.0
142.167.28.103,1,1,3,0,0,0,1,0,0,0,3,0,0.0,0.0,1.5,0.0
76.241.27.15,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
